  Gamma    Mean (Wlasny SVM)    Std (Wlasny SVM)    Mean (Sklearn)    Std (Sklearn)
-------  -------------------  ------------------  ----------------  ---------------
 1e-05                 0.814               0.043             0.194            0.049
 0.0001                0.814               0.043             0.25             0.065
 0.001                 0.814               0.043             0.252            0.068
 0.01                  0.814               0.043             0.252            0.068
 0.1                   0.808               0.042             0.24             0.059
 1                     0.752               0.036             0.198            0.048
 2                     0.718               0.044             0.18             0.059
 3                     0.688               0.061             0.162            0.044

Mean(std) DTC(Sklearn)			1.0(0.0)
Mean(std) SVM_Linear(Sklearn)	0.434(0.04)
Mean(std) SVM_Poly(Sklearn)		0.434(0.04)
